,track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1344,light on,maggie rogers,6UnCGAEmrbGIOSmGRZQ1M2,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,audio_features,spotify:track:6UnCGAEmrbGIOSmGRZQ1M2,https://api.spotify.com/v1/tracks/6UnCGAEmrbGIOSmGRZQ1M2,https://api.spotify.com/v1/audio-analysis/6UnCGAEmrbGIOSmGRZQ1M2,233880,4
1345,vou botar teu nome na macumba,zeca pagodinho,2PMgLdaY5qsevB2vucMZl2,0.63,0.461,5,-15.056,1,0.361,0.109,0.0,0.129,0.775,103.326,audio_features,spotify:track:2PMgLdaY5qsevB2vucMZl2,https://api.spotify.com/v1/tracks/2PMgLdaY5qsevB2vucMZl2,https://api.spotify.com/v1/audio-analysis/2PMgLdaY5qsevB2vucMZl2,199933,4
1346,the mother knows,michael whalen,0mjPc9CenZENkt8bXf1b8H,0.592,0.442,4,-13.847,0,0.0312,0.752,0.947,0.138,0.0829,125.089,audio_features,spotify:track:0mjPc9CenZENkt8bXf1b8H,https://api.spotify.com/v1/tracks/0mjPc9CenZENkt8bXf1b8H,https://api.spotify.com/v1/audio-analysis/0mjPc9CenZENkt8bXf1b8H,289747,4
1347,thee,san jaimt,4gLd8UFqGv0ZdM8xizCE8U,0.649,0.8,4,-5.866,1,0.169,0.525,0.0,0.0873,0.381,159.933,audio_features,spotify:track:4gLd8UFqGv0ZdM8xizCE8U,https://api.spotify.com/v1/tracks/4gLd8UFqGv0ZdM8xizCE8U,https://api.spotify.com/v1/audio-analysis/4gLd8UFqGv0ZdM8xizCE8U,240000,4
1348,hey kiliyirukku,ilaiyaraaja,6EfGUQtLk3xVc64tk8ihTL,0.803,0.572,0,-9.308,1,0.205,0.811,0.00338,0.0962,0.79,112.478,audio_features,spotify:track:6EfGUQtLk3xVc64tk8ihTL,https://api.spotify.com/v1/tracks/6EfGUQtLk3xVc64tk8ihTL,https://api.spotify.com/v1/audio-analysis/6EfGUQtLk3xVc64tk8ihTL,68206,3
1349,ojah awake,osibisa,0rnDmgcZvn9WPsOPqHbt16,0.581,0.709,2,-13.307,1,0.0436,0.0268,0.232,0.0398,0.816,132.096,audio_features,spotify:track:0rnDmgcZvn9WPsOPqHbt16,https://api.spotify.com/v1/tracks/0rnDmgcZvn9WPsOPqHbt16,https://api.spotify.com/v1/audio-analysis/0rnDmgcZvn9WPsOPqHbt16,296093,4
1350,stotra - bhawani shankarau vande,veena sahasrabuddhe,1T7UPmoSTpKbxQwiHJLXGW,0.257,0.374,3,-7.133,1,0.028,0.946,3.33e-06,0.3,0.268,136.999,audio_features,spotify:track:1T7UPmoSTpKbxQwiHJLXGW,https://api.spotify.com/v1/tracks/1T7UPmoSTpKbxQwiHJLXGW,https://api.spotify.com/v1/audio-analysis/1T7UPmoSTpKbxQwiHJLXGW,89880,4
1351,battle scars,tineidae,3kybqDbdihzfBfJQoCgnPM,0.0842,0.137,10,-20.355,1,0.0439,0.592,0.885,0.109,0.0362,168.406,audio_features,spotify:track:3kybqDbdihzfBfJQoCgnPM,https://api.spotify.com/v1/tracks/3kybqDbdihzfBfJQoCgnPM,https://api.spotify.com/v1/audio-analysis/3kybqDbdihzfBfJQoCgnPM,541286,4
1352,slam dance,mr. fingers,35x30SKKQafhSwPpjGVwj8,0.783,0.743,11,-16.158,1,0.0662,0.000541,0.967,0.0768,0.781,125.652,audio_features,spotify:track:35x30SKKQafhSwPpjGVwj8,https://api.spotify.com/v1/tracks/35x30SKKQafhSwPpjGVwj8,https://api.spotify.com/v1/audio-analysis/35x30SKKQafhSwPpjGVwj8,299533,4
1353,how do i get to you,masked intruder,5LB2xfod5kl8QJH2vQUztv,0.469,0.969,4,-4.874,1,0.0952,0.000127,0.00145,0.0981,0.605,113.985,audio_features,spotify:track:5LB2xfod5kl8QJH2vQUztv,https://api.spotify.com/v1/tracks/5LB2xfod5kl8QJH2vQUztv,https://api.spotify.com/v1/audio-analysis/5LB2xfod5kl8QJH2vQUztv,151333,4
